Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
11,AAR Component Services-Wellington,L-5182,AAR Component Services-WellingtonL-5182,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PENETRANT DRYING OVEN,GOULD-BASS D-306FD,166006,L-5182,Unassigned,145°F,±25°F,ELECTRIC,"68"" X 32"" X 36""",45.3,6 Mo,Schneider Electric,8A-2017-W46,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF11-1,ABSOLUTE CAL & CONSULTING SERVICES LLC,,,
12,AAR Component Services-Wellington,L-5185,AAR Component Services-WellingtonL-5186,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750G",Customer,L-5185,GRIEVE TB-500,125087A0719,L-5185,Unassigned,200°F/400°F,±20°F,ELECTRIC,"50"" X 60"" X 48""",83.3,6 Mo,WATLOW EZ-ZONE,L-5185A,±2°F,HONEYWELL DR4300,L-0138,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,10,235,5,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF12-1,ABSOLUTE DIMENSIONS,,,
13,AAR Component Services-Wellington,L-5186,AAR Component Services-WellingtonL-5186,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PENETRANT DRYING OVEN,Unavailable,L-5186,L-5186,Unassigned,145°F,±25°F,ELECTRIC PROPORTIONAL,"36"" X 36"" X 36""",27,6 Mo,Chromalox 1600,L-5186A,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF13-1,ACCURATE HOLDINGS LLC,,,
14,AAR Component Services-Wellington,L-10163,AAR Component Services-WellingtonL-10163,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURING OVEN,GRIEVE MODEL 333,313256,L-10163,Unassigned,250°F,±10°F,ELECTRIC PROPORTIONAL,"36"" X 36"" X 36""",27,6 Mo,PARTLOW 1400,7142003043,±2°F,HONEYWELL DR4300,22W05C4000041007985,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,3,0.43,2,Arset 4.25,ct 1 16,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF14-1,ACCURATE SOLUTIONS,,,
15,AAR Component Services-Wellington,L-10164,AAR Component Services-WellingtonL-10164,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURING OVEN,GRIEVE MODEL 333,313459,L-10164,Unassigned,200°F/400°F,±15°F,ELECTRIC PROPORTIONAL,"36"" X 36"" X 36""",27,6 Mo,HONEYWELL UDC2300,0103Y149548000001,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,1,0.1,1.11,cyc ti 15,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF15-1,ACCUREASY METROLOGIA ABSOLUTE S. DE R.L.,,,
16,ABSOLUTE DIMENSIONS,Oven No. 1,ABSOLUTE DIMENSIONSOven No. 1,3838 W. MAY ST.,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750G",Specification,CURE OVEN,Memmert,8418.1111,Oven No. 1,UNASSIGNED,300°F/500°F,±25.0°F,ELECTRIC PROPORTIONAL,"20"" X 15"" X 14""",2.4,6 Mo,Integral,8418.1111,±5.0°F*,Integral,8418.1111,±5.0°F*,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF16-1,"ACCURUS AEROSPACE TULSA, LLC",,,
17,"AERO METAL FORMS, INC.",QUINCY OVEN,"AERO METAL FORMS, INC.QUINCY OVEN",2649 ESTHNER COURT,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,AGE OVEN,QOC,N/A,QUINCY OVEN,UNASSIGNED,325°F,±25.0°F,ELECTRIC PROPORTIONAL,"21"" X 15"" X 26""",14.6,A,PARTLOW DIAL,N/A,±5.0°F*,N/A,N/A,N/A,*Tested by Comparison Reading during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF17-1,"ACCURUS AEROSPACE WICHITA, LLC",,,
18,"AERO METAL FORMS, INC.",OVEN NO. 1,"AERO METAL FORMS, INC.OVEN NO. 1",2649 ESTHNER COURT,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,AGE OVEN,DESPATCH V-39,78863,OVEN NO. 1,2C per AMS 2750H,225°F/650°F,±10.0°F,ELECTRIC PROPORTIONAL,"40"" X 60"" X 46""",63.9,Q,EUROTHERM 3504,FC1537000890,±2.0°F,EUROTHERM 6100A,0512Y566223500001,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,3.4,67,Off,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF18-1,ACE CLEARWATER ENTERPRISES,,,
19,AEROSPACE TESTING SERVICES,ATS 0233,AEROSPACE TESTING SERVICESATS 0233,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, 1089710A",Customer,BAKE OVEN,Thermo Scientific OHC100,41641754,ATS 0233,UNASSIGNED,150°F/300°F,±5.0°F,ELECTRIC PROPORTIONAL,"16.5"" X 19"" X 14""",2.5,A,Thermo Scientific,41641754,±2.0°F*,N/A,N/A,N/A,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF19-1,ACME COMPANY,,,
20,AEROSPACE TESTING SERVICES,ATS 0234,AEROSPACE TESTING SERVICESATS 0234,3939 W HARRY ST,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,BAKE OVEN,Thermo Scientific OHC100,41641755,ATS 0234,UNASSIGNED,150°F/300°F,±5.0°F,ELECTRIC PROPORTIONAL,"16.5"" X 19"" X 14""",2.5,A,Thermo Scientific,41641755,±2.0°F*,N/A,N/A,N/A,*Tested by ISC method during survey.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF20-1,"ACME FOUNDRY, INC.",,,
